"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R10,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"680";;;
2;"C23,C1,C3,C6,C8,C10,C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"100nF";;;
3;"D3,D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
4;"SW3,SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push";;;
5;"R3,R5,R8,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"1k";;;
6;"C22,C16,C17";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10u";;;
7;"C13,C14,C15,C18,C20,C2,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"100n";;;
8;"C19";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100p";;;
9;"C21";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"C";;;
10;"D1";"D_SMA";1;"B140-E3";;;
11;"J2";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
12;"J4";"PinHeader_1x09_P2.54mm_Vertical";1;"Connection For GPS Module";;;
13;"J5";"PinHeader_1x07_P2.54mm_Vertical";1;"Connection for OLED Display";;;
14;"J6";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Conn_Coaxial";;;
15;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10K";;;
16;"R7,R1,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
17;"SW2";"Power_Switch_cuuul";1;"SW_SPDT";;;
18;"TempSensor1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TMP36xS";;;
19;"TP1";"TestPoint_Pad_1.5x1.5mm";1;"TestPoint";;;
20;"U3";"TSOT-23-5_HandSoldering";1;"RT9701";;;
21;"U4";"SOT-23-5";1;"SPX3819M5-L-3-3";;;
22;"U5";"TSOT-23-5_HandSoldering";1;"MCP73831-2-OT";;;
23;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10uF";;;
24;"C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1uF";;;
25;"C9,C12";"CP_Elec_4x4.5";2;"10uF";;;
26;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Male";;;
27;"J3";"USB_Micro-B_Molex-105017-0001";1;"USB_OTG";;;
28;"U1";"CMWX1ZZABZ_longer_padz";1;"CMWX1ZZABZ-078";;;
